id,country,lat,lon,elev,SOC_pct,A_control,B_gain,C_base,ceiling,k_perkgN,citation
Ken_Mum_Maiz_1989_N,Kenya,0.341,34.4827,1310,-9,1.41,0.3,0.88,1.71,0.12783337150988489,FURP
Ken_Ota_Maiz_1989_N,Kenya,-0.7186,34.758,1780,-9,7,2.3,0.92,9.3,0.08338160893905101,FURP
Ken_Ota_Maiz_??_N,Kenya,-0.72,34.762,1790,-9,2.04,0,0.0001,2.04,9.210340371976182,FURP
Ken_Sos_Maiz_1991_N,Kenya,-0.371,35.174,1890,-9,4.7,1,0.93,5.7,0.07257069283483537,FURP
Ken_Vih_Maiz_1988_N,Kenya,0.0759,34.72,1620,-9,7.41,0.76,0.92,8.17,0.08338160893905101,FURP
Ken_Vih_Maiz_1989_N,Kenya,0.09263,34.7231,1600,-9,4.2,1.3,0.98,5.5,0.020202707317519466,FURP
Ken_Vih_Maiz_1990_N,Kenya,0.09189,34.7185,1600,-9,3.88,0.56,0.87,4.4399999999999995,0.13926206733350766,FURP
Mal_Mak_Maiz_1998-99_N,Malawi,-15.5,35.25,1030,-9,3.2,2.2,0.97,5.4,0.030459207484708574,"F. K. AKINNIFESI, W. MAKUMBA and F. R. KWESIGA. SUSTAINABLE "
Nig_Bau_Maiz_1995-96_N,Nigeria,10.016667,9.78,530,4,2.594,1.882,0.972,4.476,0.028399474521698,"CARSKY R.J., OYEWOLE B., TIAN G., 1999. Integrated soil mana"
Nig_Bau_Maiz_1995-96_N,Nigeria,10.016667,9.78,530,4,1.702,0.822,0.904,2.524,0.10092591858996053,"CARSKY R.J., OYEWOLE B., TIAN G., 1999. Integrated soil mana"
Tan_S2-_Maiz_1997_N,Tanzania,-5.14,38.87,80,-9,3.6,1,0.9,4.6,0.10536051565782628,Jeremias G. Mowo. Effectiveness of Phosphate Rock on Ferrals
Tan_S3-_Maiz_1997_N,Tanzania,-5.13,38.88,80,-9,1.84,1.403,0.98,3.2430000000000003,0.020202707317519466,Jeremias G. Mowo. Effectiveness of Phosphate Rock on Ferrals
Tan_Pan_Maiz_2010_N,Tanzania,-5.283,38.65,253,-9,3.637,0.146,0.956,3.783,0.044997365930735805,data- Tanzania.xlsx
Tan_Mbe_Maiz_1982-86_N,Tanzania,-8.91,33.54,1825,-9,4.592,2.619,0.98,7.211,0.020202707317519466,data- Tanzania.xlsx
Tan_Mur_Maiz_2010-11_N,Tanzania,-1.35,34.617,1793,-9,2.77,0,0.0001,2.77,9.210340371976182,data- Tanzania.xlsx
Uga_Bul_Maiz_2009_N,Uganda,1.5,31.484,1020,27,2.438,1.559,0.969,3.997,0.03149066709137085,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Nge_Maiz_2009_N,Uganda,2.313011,32.928775,1080,19,3.701,2.201,0.938,5.902,0.06400532997591243,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Tor_Maiz_2009_N,Uganda,0.75,34.235,1210,12,2.273,1.32,0.973,3.593,0.027371196796132015,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Bul_Maiz_2010_N,Uganda,1.5,31.484,1020,26,3.558,2.354,0.935,5.912,0.06720874969344999,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Kwe_Maiz_2010_N,Uganda,1.826001,32.979633,1080,-9,5.062,1.488,0.936,6.550000000000001,0.06613980250454495,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Nge_Maiz_2010_N,Uganda,2.313011,32.928775,1080,16,5.194,2.958,0.956,8.152000000000001,0.044997365930735805,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Kiz_Maiz_2010_N,Uganda,1.35,32.2,1160,-9,3.483,1.536,0.964,5.019,0.03666398437159147,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Buk_Maiz_2010_N,Uganda,0.708773,33.357982,1160,-9,3.767,2.187,0.955,5.954,0.046043938501406846,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Tor_Maiz_2010_N,Uganda,0.75,34.235,1210,15,4.713,2.571,0.896,7.284000000000001,0.10981486600720657,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Kap_Maiz_2010_N,Uganda,1.4,34.617,1880,31,5.697,2.434,0.994,8.131,0.006018072325563021,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Kap_Maiz_2010_N,Uganda,1.4,34.617,1880,31,5.208,2.847,0.982,8.055,0.01816397062767118,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Buk_Maiz_2011_N,Uganda,0.708773,33.357982,1160,-9,2.741,1.04,0.95,3.781,0.05129329438755058,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Uga_Kap_Maiz_2011_N,Uganda,1.4,34.617,1880,30,2.198,1.245,0.958,3.443,0.04290750101127655,"Kaizzi et al data; Kaizzi, C.K., J. Byalebeka, O. Semalulu, "
Ken_OlN_Maiz_1988_N,Kenya,-0.304,36.275,1970,-9,10.41,2.28,0.9,12.69,0.10536051565782628,FURP
Ken_OlN_Maiz_1990_N,Kenya,-0.304,36.275,1970,-9,3.43,0,0.0001,3.43,9.210340371976182,FURP
Ken_OlN_Maiz_1991_N,Kenya,-0.304,36.275,1970,-9,10,5,0.975,15.0,0.025317807984289897,FURP
Ken_Kit_Maiz_1991_N,Kenya,0.991,35.125,1890,-9,8.4,2,0.88,10.4,0.12783337150988489,FURP
Ken_Mau_Maiz_1989_N,Kenya,-0.18,35.62,2530,-9,6.622,0,0.0001,6.622,9.210340371976182,FURP
Ken_Mau_Maiz_1991_N,Kenya,-0.18,35.62,2530,-9,3.71,0,0.0001,3.71,9.210340371976182,FURP
