soc_level,region,year,yield_tha,soc_total,n_mineralized
SOC_50pct,latin_america,4,4.6261,46.52,133.42
SOC_50pct,latin_america,5,4.6238,46.50,133.20
SOC_50pct,latin_america,6,4.6220,46.49,133.03
SOC_50pct,latin_america,7,4.6205,46.47,132.89
SOC_50pct,latin_america,8,4.6193,46.46,132.78
SOC_50pct,latin_america,9,4.6182,46.45,132.70
SOC_50pct,latin_america,10,4.6172,46.44,132.62
SOC_50pct,latin_america,11,4.6163,46.43,132.56
SOC_50pct,latin_america,12,4.6155,46.42,132.50
SOC_50pct,latin_america,13,4.6148,46.41,132.45
SOC_50pct,latin_america,14,4.6141,46.40,132.41
SOC_50pct,latin_america,15,4.6135,46.39,132.36
SOC_50pct,latin_america,16,4.6128,46.38,132.33
SOC_50pct,latin_america,17,4.6122,46.37,132.29
SOC_50pct,latin_america,18,4.6117,46.36,132.25
SOC_50pct,latin_america,19,4.6111,46.35,132.22
SOC_50pct,latin_america,20,4.6106,46.35,132.19
SOC_50pct,latin_america,21,4.6100,46.34,132.16
SOC_50pct,latin_america,22,4.6095,46.33,132.13
SOC_50pct,latin_america,23,4.6090,46.32,132.10
SOC_50pct,latin_america,24,4.6086,46.32,132.07
SOC_50pct,latin_america,25,4.6081,46.31,132.04
SOC_50pct,latin_america,26,4.6077,46.30,132.02
SOC_50pct,latin_america,27,4.6072,46.29,131.99
SOC_50pct,latin_america,28,4.6068,46.29,131.97
SOC_50pct,latin_america,29,4.6064,46.28,131.94
SOC_50pct,latin_america,30,4.6060,46.27,131.92
SOC_50pct,sub_saharan_africa,0,1.6511,9.48,30.17
SOC_50pct,sub_saharan_africa,1,1.4769,9.45,30.17
SOC_50pct,sub_saharan_africa,2,1.4637,9.42,29.47
SOC_50pct,sub_saharan_africa,3,1.4522,9.40,28.94
SOC_50pct,sub_saharan_africa,4,1.4430,9.38,28.52
SOC_50pct,sub_saharan_africa,5,1.4358,9.36,28.19
SOC_50pct,sub_saharan_africa,6,1.4299,9.34,27.93
SOC_50pct,sub_saharan_africa,7,1.4251,9.32,27.72
SOC_50pct,sub_saharan_africa,8,1.4211,9.30,27.54
SOC_50pct,sub_saharan_africa,9,1.4178,9.28,27.39
SOC_50pct,sub_saharan_africa,10,1.4149,9.27,27.27
SOC_50pct,sub_saharan_africa,11,1.4124,9.25,27.16
SOC_50pct,sub_saharan_africa,12,1.4101,9.24,27.07
SOC_50pct,sub_saharan_africa,13,1.4081,9.22,26.98
SOC_50pct,sub_saharan_africa,14,1.4063,9.21,26.90
SOC_50pct,sub_saharan_africa,15,1.4046,9.19,26.83
SOC_50pct,sub_saharan_africa,16,1.4030,9.18,26.77
SOC_50pct,sub_saharan_africa,17,1.4015,9.17,26.70
SOC_50pct,sub_saharan_africa,18,1.4001,9.15,26.65
SOC_50pct,sub_saharan_africa,19,1.3988,9.14,26.59
SOC_50pct,sub_saharan_africa,20,1.3975,9.13,26.54
SOC_50pct,sub_saharan_africa,21,1.3962,9.12,26.49
SOC_50pct,sub_saharan_africa,22,1.3951,9.11,26.44
SOC_50pct,sub_saharan_africa,23,1.3939,9.09,26.39
SOC_50pct,sub_saharan_africa,24,1.3928,9.08,26.35
SOC_50pct,sub_saharan_africa,25,1.3918,9.07,26.30
SOC_50pct,sub_saharan_africa,26,1.3907,9.06,26.26
SOC_50pct,sub_saharan_africa,27,1.3897,9.05,26.22
SOC_50pct,sub_saharan_africa,28,1.3887,9.04,26.18
SOC_50pct,sub_saharan_africa,29,1.3878,9.03,26.14
