region,year,price_reported,price_econ_consistent,err_pp
latin_america,4,1.0367234753784915,1.0466931212197927,-0.9969645841301222
latin_america,5,1.0379936399122176,1.047599838303237,-0.9606198391019394
latin_america,6,1.0389584260939642,1.048293058566379,-0.9334632472414839
latin_america,7,1.0397013711908447,1.0488314317480032,-0.9130060557158481
latin_america,8,1.0402829144680936,1.04925707617185,-0.8974161703756423
latin_america,9,1.0407466377323404,1.0496002825754176,-0.8853644843077157
latin_america,10,1.041123929398961,1.0498828323760725,-0.8758902977111571
latin_america,11,1.041437387659693,1.050120394042997,-0.8683006383304104
latin_america,12,1.0417032877685417,1.0503242497205867,-0.8620961952044981
latin_america,13,1.0419333634472168,1.0505025364466194,-0.856917299940263
latin_america,14,1.0421360893866454,1.0506611369735768,-0.85250475869314
latin_america,15,1.0423176027136212,1.050804318382392,-0.8486715668770906
latin_america,16,1.0424823641292524,1.0509351895346761,-0.8452825405423692
latin_america,17,1.0426336318080422,1.0510560285847468,-0.8422396776704533
latin_america,18,1.0427738008658871,1.0511685173862668,-0.8394716520379708
latin_america,19,1.0429046464328686,1.0512739092349677,-0.8369262802099042
latin_america,20,1.04302749766632,1.0513731489039324,-0.8345651237612328
latin_america,21,1.0431433623188593,1.051466958549468,-0.8323596230608743
latin_america,22,1.0432530159203848,1.0515558992068395,-0.8302883286454676
latin_america,23,1.0433570656429703,1.0516404148298413,-0.8283349186871014
latin_america,24,1.04345599605588,1.0517208638480027,-0.8264867792122654
latin_america,25,1.0435502019274785,1.051797541798124,-0.824733987064552
latin_america,26,1.0436400117626468,1.051870697573045,-0.8230685810398208
latin_america,27,1.0437257047136344,1.0519405451055912,-0.8214840391956857
latin_america,28,1.0438075227505914,1.0520072717871847,-0.8199749036593262
latin_america,29,1.0438856794404414,1.0520710445500727,-0.8185365109631304
latin_america,30,1.043960366298303,1.052132014277165,-0.8171647978862051
sub_saharan_africa,1,1.0535386983302817,1.0501726858946898,0.33660124355918697
sub_saharan_africa,2,1.0394873205004977,1.0582773578169749,-1.8790037316477104
sub_saharan_africa,3,1.0437426786859094,1.0618289211373122,-1.8086242451402779
sub_saharan_africa,4,1.0472931644137844,1.0645249616014825,-1.7231797187698072
sub_saharan_africa,5,1.0500793470307768,1.0666489981759095,-1.6569651145132758
sub_saharan_africa,6,1.0522829270418432,1.068343494365633,-1.6060567323789687
sub_saharan_africa,7,1.0540471185707818,1.0697133285549765,-1.5666209984194657
sub_saharan_africa,8,1.055479359521766,1.0708370853141103,-1.535772579234429
