iso3,fao_area_code,fao_name,region,cropland_ha,n_use_t,n_prod_t,n_imp_t,n_exp_t,apparent_consumption_t,net_imports_t,n_intensity_raw,n_intensity_scaled,import_reliance,exposure_combined,exposure_class,reexport_flag,data_missing_n_use,data_missing_trade,data_missing_cropland
ARM,1,Armenia,North Africa & West Asia,504566.6666666667,26860.666666666668,0.0,26867.930000000004,7.116666666666666,26860.81333333334,26860.81333333334,53.23511924423598,0.17745039748078661,1.0,0.5887251987403933,moderate,False,False,False,False
AZE,52,Azerbaijan,North Africa & West Asia,2355400.0,92063.66666666667,28328.013333333336,78660.81,28701.14,78287.68333333333,49959.67,39.08621324049702,0.1302873774683234,0.6381549162373562,0.3842211468528398,moderate,False,False,False,False
BHR,13,Bahrain,North Africa & West Asia,4100.0,143.33333333333334,361474.48666666663,143.26333333333335,361474.48666666663,143.26333333330695,0.0,34.959349593495936,0.11653116531165313,0.0,0.05826558265582656,low,True,False,False,False
CYP,50,Cyprus,North Africa & West Asia,126671.23333333334,8004.666666666667,0.0,8002.046666666666,2.9166666666666665,7999.129999999999,7999.129999999999,63.19245858767724,0.2106415286255908,1.0,0.6053207643127954,moderate,False,False,False,False
DZA,4,Algeria,North Africa & West Asia,8495832.866666667,70200.0,1043200.0,80962.01333333332,1849951.5933333335,-725789.5800000001,0.0,8.262874411692954,0.027542914705643178,,,data_missing,False,False,False,False
EGY,59,Egypt,North Africa & West Asia,3918666.6666666665,1311833.3333333333,3426533.3333333335,16747.443333333333,1908574.8399999999,1534705.936666667,0.0,334.7652262674379,1.0,0.0,0.5,moderate,False,False,False,False
ESH,205,Western Sahara,North Africa & West Asia,4000.0,,0.0,0.0,0.0,0.0,0.0,,,,,data_missing,False,True,True,False
GEO,73,Georgia,North Africa & West Asia,434900.0,23979.666666666668,163682.02333333335,7668.47,155260.3633333333,16090.130000000034,0.0,55.13834597991876,0.1837944865997292,0.0,0.0918972432998646,low,True,False,False,False
IRN,102,Iran (Islamic Republic of),North Africa & West Asia,17500000.0,815876.0,1826568.0,16260.216666666667,781491.8866666667,1061336.3299999998,0.0,46.62148571428571,0.15540495238095237,0.0,0.07770247619047618,low,False,False,False,False
IRQ,103,Iraq,North Africa & West Asia,5427733.333333333,182515.0,123311.71333333333,170089.55666666667,191.17333333333332,293210.0966666667,169898.38333333333,33.6263756509777,0.11208791883659233,0.5794424723596091,0.3457651955981007,moderate,False,False,False,False
ISR,105,Israel,North Africa & West Asia,446166.6666666667,41581.333333333336,31726.430000000004,83815.29,50720.74,64820.98,33094.549999999996,93.19686215913336,0.3106562071971112,0.5105530647639082,0.41060463598050967,moderate,False,False,False,False
JOR,112,Jordan,North Africa & West Asia,287100.0,18219.0,140666.66666666666,22208.686666666665,140106.29666666666,22769.05666666667,0.0,63.45872518286311,0.21152908394287703,0.0,0.10576454197143852,low,True,False,False,False
KWT,118,Kuwait,North Africa & West Asia,14000.0,2513.0,85966.66666666667,3871.4966666666664,83900.23333333332,5937.930000000022,0.0,179.5,0.5983333333333334,0.0,0.2991666666666667,low,True,False,False,False
LBN,121,Lebanon,North Africa & West Asia,272321.6666666667,17258.0,0.0,17338.183333333334,80.38,17257.803333333333,17257.803333333333,63.373583935664314,0.21124527978554772,1.0,0.6056226398927739,moderate,False,False,False,False
LBY,124,Libya,North Africa & West Asia,2050000.0,14433.333333333334,54533.333333333336,11432.453333333333,56064.716666666674,9901.069999999992,0.0,7.040650406504065,0.023468834688346884,0.0,0.011734417344173442,low,True,False,False,False
MAR,143,Morocco,North Africa & West Asia,9016324.5,208533.33333333334,1416200.0,207641.01333333334,1306896.32,316944.69333333336,0.0,23.128419272546516,0.07709473090848838,0.0,0.03854736545424419,low,True,False,False,False
